name,year,selling_price,km_driven,fuel,seller_type,transmission,owner,brand,model,is_luxury,car_age,is_old,km_per_year,is_high_km,price_per_km,price_per_year
Hyundai Grand i10 1.2 Kappa Asta,2019.0,500000.0,15000.0,Petrol,Individual,Manual,First Owner,Hyundai,Grand i10 1.2 Kappa Asta,0,6.0,0,2500.0,0,33.333333333333336,83333.33333333333
Maruti Swift Dzire VDI Optional,2017.0,725000.0,18500.0,Diesel,Dealer,Manual,First Owner,Maruti,Swift Dzire VDI Optional,0,8.0,0,2312.5,0,39.189189189189186,90625.0
Maruti Eeco 5 Seater AC BSIV,2018.0,401000.0,10200.0,Petrol,Individual,Manual,First Owner,Maruti,Eeco 5 Seater AC BSIV,0,7.0,0,1457.142857142857,0,39.31372549019608,57285.71428571428
Hyundai i20 Sportz 1.4 CRDi,2018.0,750000.0,29000.0,Diesel,Dealer,Manual,First Owner,Hyundai,i20 Sportz 1.4 CRDi,0,7.0,0,4142.857142857143,0,25.862068965517242,107142.85714285714
Maruti Omni Maruti Omni MPI STD BSIII 5-STR W/ IMMOBILISER,2018.0,310000.0,28000.0,Petrol,Dealer,Manual,First Owner,Maruti,Omni Maruti Omni MPI STD BSIII 5-STR W/ IMMOBILISER,0,7.0,0,4000.0,0,11.071428571428571,44285.71428571428
Maruti Swift Dzire VDI,2016.0,665000.0,46000.0,Diesel,Individual,Manual,First Owner,Maruti,Swift Dzire VDI,0,9.0,0,5111.111111111111,0,14.456521739130435,73888.88888888889
Hyundai i20 2015-2017 Sportz Option 1.4 CRDi,2014.0,465000.0,70000.0,Diesel,Dealer,Manual,First Owner,Hyundai,i20 2015-2017 Sportz Option 1.4 CRDi,0,11.0,1,6363.636363636364,1,6.642857142857143,42272.72727272727
Maruti Alto LXi,2012.0,160000.0,60000.0,Petrol,Individual,Manual,Second Owner,Maruti,Alto LXi,0,13.0,1,4615.384615384615,0,2.6666666666666665,12307.692307692309
Mahindra Jeep CL 500 MDI,1996.0,250000.0,35000.0,Diesel,Individual,Manual,Second Owner,Mahindra,Jeep CL 500 MDI,0,29.0,1,1206.896551724138,0,7.142857142857143,8620.689655172413
Honda City i DTEC VX,2014.0,675000.0,90000.0,Diesel,Dealer,Manual,First Owner,Honda,City i DTEC VX,0,11.0,1,8181.818181818182,1,7.5,61363.63636363636
Tata Indica DLS,2005.0,70000.0,80000.0,Diesel,Individual,Manual,First Owner,Tata,Indica DLS,0,20.0,1,4000.0,1,0.875,3500.0
Hyundai EON Magna Plus,2014.0,240000.0,60000.0,Diesel,Dealer,Manual,Second Owner,Hyundai,EON Magna Plus,0,11.0,1,5454.545454545455,0,4.0,21818.18181818182
Toyota Etios GD,2014.0,525000.0,92000.0,Diesel,Dealer,Manual,First Owner,Toyota,Etios GD,0,11.0,1,8363.636363636364,1,5.706521739130435,47727.27272727273
Maruti Alto LXi,2009.0,151000.0,66764.0,Diesel,Dealer,Manual,Second Owner,Maruti,Alto LXi,0,16.0,1,4172.75,1,2.2616979210352883,9437.5
Maruti Alto LXi,2009.0,140000.0,100000.0,Petrol,Individual,Manual,First Owner,Maruti,Alto LXi,0,16.0,1,6250.0,1,1.4,8750.0
Chevrolet Tavera Neo LS B3 - 7(C) seats BSIII,2010.0,280000.0,350000.0,Diesel,Individual,Manual,Second Owner,Chevrolet,Tavera Neo LS B3 - 7(C) seats BSIII,0,15.0,1,23333.333333333332,1,0.8,18666.666666666668
Toyota Corolla Altis Diesel D4DG,2011.0,350000.0,230000.0,Diesel,Individual,Manual,First Owner,Toyota,Corolla Altis Diesel D4DG,0,14.0,1,16428.571428571428,1,1.5217391304347827,25000.0
Maruti Swift Dzire VDI,2018.0,300000.0,31000.0,Petrol,Individual,Manual,First Owner,Maruti,Swift Dzire VDI,0,7.0,0,4428.571428571428,0,9.67741935483871,42857.142857142855
Tata Indigo Classic Dicor,2007.0,100000.0,39000.0,Diesel,Individual,Manual,First Owner,Tata,Indigo Classic Dicor,0,18.0,1,2166.6666666666665,0,2.5641025641025643,5555.555555555556
Toyota Innova 2.5 V Diesel 8-seater,2009.0,500000.0,120000.0,Diesel,Individual,Manual,Third Owner,Toyota,Innova 2.5 V Diesel 8-seater,0,16.0,1,7500.0,1,4.166666666666667,31250.0
Tata Indica Vista Quadrajet LS,2014.0,125000.0,166000.0,Diesel,Individual,Manual,Fourth & Above Owner,Tata,Indica Vista Quadrajet LS,0,11.0,1,15090.90909090909,1,0.7530120481927711,11363.636363636364
Maruti Swift 1.3 VXi,2006.0,130000.0,110000.0,Petrol,Individual,Manual,Third Owner,Maruti,Swift 1.3 VXi,0,19.0,1,5789.473684210527,1,1.1818181818181819,6842.105263157895
Maruti Ciaz 1.3 Delta,2018.0,750000.0,60000.0,Diesel,Individual,Manual,First Owner,Maruti,Ciaz 1.3 Delta,0,7.0,0,8571.42857142857,0,12.5,107142.85714285714
Honda Civic 1.8 V AT,2007.0,200000.0,54000.0,Petrol,Individual,Automatic,Second Owner,Honda,Civic 1.8 V AT,0,18.0,1,3000.0,0,3.7037037037037037,11111.111111111111
Skoda Rapid 1.5 TDI Elegance,2014.0,450000.0,120000.0,Diesel,Individual,Manual,Second Owner,Skoda,Rapid 1.5 TDI Elegance,0,11.0,1,10909.09090909091,1,3.75,40909.09090909091
Hyundai Getz GLS,2005.0,80000.0,120000.0,Petrol,Individual,Manual,Third Owner,Hyundai,Getz GLS,0,20.0,1,6000.0,1,0.6666666666666666,4000.0
Maruti Swift Dzire VDI,2014.0,650000.0,76000.0,Petrol,Individual,Manual,Second Owner,Maruti,Swift Dzire VDI,0,11.0,1,6909.090909090909,1,8.552631578947368,59090.90909090909
Hyundai Grand i10 CRDi Sportz,2015.0,450000.0,80000.0,Diesel,Individual,Manual,First Owner,Hyundai,Grand i10 CRDi Sportz,0,10.0,0,8000.0,1,5.625,45000.0
Hyundai Elite i20 Diesel Era,2019.0,650000.0,25000.0,Diesel,Individual,Manual,First Owner,Hyundai,Elite i20 Diesel Era,0,6.0,0,4166.666666666667,0,26.0,108333.33333333333
Honda Amaze S i-VTEC,2016.0,495000.0,11958.0,Petrol,Dealer,Manual,First Owner,Honda,Amaze S i-VTEC,0,9.0,0,1328.6666666666667,0,41.39488208730557,55000.0
Honda Brio S MT,2015.0,371000.0,20000.0,Petrol,Dealer,Manual,First Owner,Honda,Brio S MT,0,10.0,0,2000.0,0,18.55,37100.0
Hyundai Creta 1.6 SX Option,2017.0,1025000.0,9000.0,Petrol,Dealer,Manual,First Owner,Hyundai,Creta 1.6 SX Option,0,8.0,0,1125.0,0,113.88888888888889,128125.0
Mahindra XUV500 W8 2WD,2015.0,750000.0,70000.0,Diesel,Individual,Manual,First Owner,Mahindra,XUV500 W8 2WD,0,10.0,0,7000.0,1,10.714285714285714,75000.0
Renault Duster 85PS Diesel RxL Optional,2013.0,600000.0,120000.0,Diesel,Individual,Manual,First Owner,Renault,Duster 85PS Diesel RxL Optional,0,12.0,1,10000.0,1,5.0,50000.0
Hyundai Santro Xing XO,2007.0,80000.0,58000.0,Petrol,Dealer,Manual,Second Owner,Hyundai,Santro Xing XO,0,18.0,1,3222.222222222222,0,1.3793103448275863,4444.444444444444
Mahindra Bolero 2011-2019 SLE,2013.0,325000.0,62200.0,Diesel,Dealer,Manual,First Owner,Mahindra,Bolero 2011-2019 SLE,0,12.0,1,5183.333333333333,1,5.22508038585209,27083.333333333332
Audi A6 2.0 TDI Premium Plus,2014.0,1470000.0,34000.0,Diesel,Dealer,Automatic,Second Owner,Audi,A6 2.0 TDI Premium Plus,1,11.0,1,3090.909090909091,0,43.23529411764706,133636.36363636365
Fiat Avventura MULTIJET Emotion,2015.0,350000.0,53000.0,Diesel,Individual,Manual,Second Owner,Fiat,Avventura MULTIJET Emotion,0,10.0,0,5300.0,0,6.60377358490566,35000.0
Audi A8 4.2 TDI,2013.0,2800000.0,49000.0,Diesel,Individual,Automatic,First Owner,Audi,A8 4.2 TDI,1,12.0,1,4083.3333333333335,0,57.142857142857146,233333.33333333334
Datsun RediGO 1.0 S,2017.0,210000.0,15000.0,Petrol,Dealer,Manual,Second Owner,Datsun,RediGO 1.0 S,0,8.0,0,1875.0,0,14.0,26250.0
Maruti Swift Dzire VDI,2013.0,450000.0,50000.0,Diesel,Individual,Manual,First Owner,Maruti,Swift Dzire VDI,0,12.0,1,4166.666666666667,0,9.0,37500.0
Audi A4 2.0 TDI 177 Bhp Premium Plus,2013.0,1150000.0,53000.0,Diesel,Dealer,Manual,First Owner,Audi,A4 2.0 TDI 177 Bhp Premium Plus,1,12.0,1,4416.666666666667,0,21.69811320754717,95833.33333333333
Maruti Swift Dzire VDI,2009.0,210000.0,63500.0,Petrol,Dealer,Automatic,First Owner,Maruti,Swift Dzire VDI,0,16.0,1,3968.75,1,3.3070866141732282,13125.0
Mercedes-Benz E-Class Exclusive E 200 BSIV,2018.0,4500000.0,60000.0,Petrol,Dealer,Automatic,First Owner,Mercedes-Benz,E-Class Exclusive E 200 BSIV,0,7.0,0,8571.42857142857,0,75.0,642857.1428571428
BMW X1 sDrive 20d xLine,2017.0,2750000.0,60000.0,Diesel,Individual,Automatic,First Owner,BMW,X1 sDrive 20d xLine,1,8.0,0,7500.0,0,45.833333333333336,343750.0
Volvo V40 D3 R Design,2018.0,1975000.0,21000.0,Diesel,Dealer,Automatic,First Owner,Volvo,V40 D3 R Design,1,7.0,0,3000.0,0,94.04761904761905,282142.85714285716
Maruti SX4 Zxi BSIII,2008.0,175000.0,29173.0,Petrol,Dealer,Manual,First Owner,Maruti,SX4 Zxi BSIII,0,17.0,1,1716.0588235294117,0,5.998697425701848,10294.117647058823
BMW 7 Series 730Ld,2012.0,2500000.0,60000.0,Diesel,Dealer,Automatic,First Owner,BMW,7 Series 730Ld,1,13.0,1,4615.384615384615,0,41.666666666666664,192307.6923076923
Mahindra Bolero Power Plus SLX,2017.0,628000.0,120000.0,Diesel,Individual,Manual,First Owner,Mahindra,Bolero Power Plus SLX,0,8.0,0,15000.0,1,5.233333333333333,78500.0
Hyundai Sonata CRDi M/T,2010.0,600000.0,100000.0,Diesel,Individual,Manual,First Owner,Hyundai,Sonata CRDi M/T,0,15.0,1,6666.666666666667,1,6.0,40000.0
Nissan Micra Active XV Petrol,2017.0,399000.0,30000.0,Petrol,Individual,Manual,First Owner,Nissan,Micra Active XV Petrol,0,8.0,0,3750.0,0,13.3,49875.0
Mahindra Xylo D4,2018.0,750000.0,87000.0,Diesel,Individual,Manual,First Owner,Mahindra,Xylo D4,0,7.0,0,12428.57142857143,1,8.620689655172415,107142.85714285714
Hyundai Elite i20 Sportz Plus Dual Tone BSIV,2019.0,750000.0,15000.0,Petrol,Individual,Manual,First Owner,Hyundai,Elite i20 Sportz Plus Dual Tone BSIV,0,6.0,0,2500.0,0,50.0,125000.0
Mahindra Xylo E4 BS III,2012.0,600000.0,60000.0,Diesel,Individual,Manual,First Owner,Mahindra,Xylo E4 BS III,0,13.0,1,4615.384615384615,0,10.0,46153.846153846156
Maruti Wagon R LXI Minor,2010.0,100000.0,60000.0,Petrol,Individual,Manual,Fourth & Above Owner,Maruti,Wagon R LXI Minor,0,15.0,1,4000.0,0,1.6666666666666667,6666.666666666667
Maruti SX4 ZXI MT BSIV,2011.0,250000.0,110000.0,Petrol,Individual,Manual,Third Owner,Maruti,SX4 ZXI MT BSIV,0,14.0,1,7857.142857142857,1,2.272727272727273,17857.14285714286
Hyundai Creta 1.4 CRDi S,2016.0,780000.0,60000.0,Diesel,Individual,Manual,First Owner,Hyundai,Creta 1.4 CRDi S,0,9.0,0,6666.666666666667,0,13.0,86666.66666666667
Maruti Swift Dzire VDI,2014.0,434000.0,60000.0,Diesel,Individual,Manual,Second Owner,Maruti,Swift Dzire VDI,0,11.0,1,5454.545454545455,0,7.233333333333333,39454.545454545456
Hyundai Verna 1.6 VTVT AT S Option,2016.0,690000.0,80000.0,Petrol,Individual,Automatic,First Owner,Hyundai,Verna 1.6 VTVT AT S Option,0,9.0,0,8888.888888888889,1,8.625,76666.66666666667
Mahindra Scorpio LX BSIV,2014.0,555000.0,60000.0,Diesel,Individual,Manual,Second Owner,Mahindra,Scorpio LX BSIV,0,11.0,1,5454.545454545455,0,9.25,50454.545454545456
Maruti SX4 Vxi BSIII,2007.0,120000.0,90000.0,Petrol,Individual,Manual,Second Owner,Maruti,SX4 Vxi BSIII,0,18.0,1,5000.0,1,1.3333333333333333,6666.666666666667
Maruti Ertiga VDI,2014.0,500000.0,120000.0,Diesel,Individual,Manual,Second Owner,Maruti,Ertiga VDI,0,11.0,1,10909.09090909091,1,4.166666666666667,45454.545454545456
Chevrolet Beat Diesel,2013.0,165000.0,60000.0,Diesel,Individual,Manual,First Owner,Chevrolet,Beat Diesel,0,12.0,1,5000.0,0,2.75,13750.0
Maruti Zen LX,2004.0,95000.0,50000.0,Petrol,Individual,Manual,First Owner,Maruti,Zen LX,0,21.0,1,2380.9523809523807,0,1.9,4523.809523809524
Maruti Baleno Delta 1.2,2018.0,550000.0,20000.0,Petrol,Individual,Manual,First Owner,Maruti,Baleno Delta 1.2,0,7.0,0,2857.1428571428573,0,27.5,78571.42857142857
Maruti Swift Vdi BSIII,2007.0,100000.0,110000.0,Diesel,Individual,Manual,Fourth & Above Owner,Maruti,Swift Vdi BSIII,0,18.0,1,6111.111111111111,1,0.9090909090909091,5555.555555555556
Tata Nano Lx BSIV,2012.0,100000.0,50000.0,Petrol,Individual,Manual,Second Owner,Tata,Nano Lx BSIV,0,13.0,1,3846.153846153846,0,2.0,7692.307692307692
Toyota Innova 2.5 GX (Diesel) 8 Seater,2012.0,500000.0,100000.0,Diesel,Individual,Manual,First Owner,Toyota,Innova 2.5 GX (Diesel) 8 Seater,0,13.0,1,7692.307692307692,1,5.0,38461.53846153846
Hyundai Creta 1.6 CRDi SX,2016.0,840000.0,70000.0,Diesel,Individual,Manual,Second Owner,Hyundai,Creta 1.6 CRDi SX,0,9.0,0,7777.777777777777,1,12.0,93333.33333333333
Honda Amaze S i-Vtech,2016.0,490000.0,50000.0,Petrol,Individual,Manual,First Owner,Honda,Amaze S i-Vtech,0,9.0,0,5555.555555555556,0,9.8,54444.444444444445
Tata Indica Vista Aqua 1.4 TDI,2010.0,125000.0,60000.0,Diesel,Individual,Manual,Second Owner,Tata,Indica Vista Aqua 1.4 TDI,0,15.0,1,4000.0,0,2.0833333333333335,8333.333333333334
Chevrolet Tavera Neo 2 LS B4 7 Str BSIII,2012.0,400000.0,60000.0,Diesel,Individual,Manual,Third Owner,Chevrolet,Tavera Neo 2 LS B4 7 Str BSIII,0,13.0,1,4615.384615384615,0,6.666666666666667,30769.23076923077
Chevrolet Cruze LTZ,2015.0,1000000.0,3600.0,Diesel,Dealer,Manual,First Owner,Chevrolet,Cruze LTZ,0,10.0,0,360.0,0,277.77777777777777,100000.0
Ford Figo Aspire 1.2 Ti-VCT Titanium Plus,2015.0,530000.0,14272.0,Petrol,Dealer,Manual,First Owner,Ford,Figo Aspire 1.2 Ti-VCT Titanium Plus,0,10.0,0,1427.2,0,37.13565022421525,53000.0
Ford EcoSport 1.5 Diesel Titanium Plus BSIV,2017.0,840000.0,60000.0,Diesel,Dealer,Manual,First Owner,Ford,EcoSport 1.5 Diesel Titanium Plus BSIV,0,8.0,0,7500.0,0,14.0,105000.0
Hyundai i10 Sportz 1.1L,2015.0,229999.0,40000.0,Petrol,Individual,Manual,First Owner,Hyundai,i10 Sportz 1.1L,0,10.0,0,4000.0,0,5.749975,22999.9
Maruti 800 Std,1998.0,40000.0,40000.0,Petrol,Individual,Manual,Fourth & Above Owner,Maruti,800 Std,0,27.0,1,1481.4814814814815,0,1.0,1481.4814814814815
Chevrolet Spark 1.0 LS,2012.0,130000.0,80000.0,Petrol,Individual,Manual,First Owner,Chevrolet,Spark 1.0 LS,0,13.0,1,6153.846153846154,1,1.625,10000.0
Hyundai EON Era Plus,2015.0,200000.0,70000.0,Petrol,Individual,Manual,First Owner,Hyundai,EON Era Plus,0,10.0,0,7000.0,1,2.857142857142857,20000.0
Tata Indica Vista Aqua TDI BSIII,2011.0,120000.0,70000.0,Diesel,Individual,Manual,First Owner,Tata,Indica Vista Aqua TDI BSIII,0,14.0,1,5000.0,1,1.7142857142857142,8571.42857142857
Hyundai Santro LP zipPlus,2003.0,75000.0,57000.0,Petrol,Individual,Manual,First Owner,Hyundai,Santro LP zipPlus,0,22.0,1,2590.909090909091,0,1.3157894736842106,3409.090909090909
Tata Bolt Quadrajet XE,2016.0,250000.0,120000.0,Diesel,Individual,Manual,First Owner,Tata,Bolt Quadrajet XE,0,9.0,0,13333.333333333334,1,2.0833333333333335,27777.777777777777
Maruti 800 AC BSIII,2005.0,100000.0,30000.0,Petrol,Individual,Manual,First Owner,Maruti,800 AC BSIII,0,20.0,1,1500.0,0,3.3333333333333335,5000.0
Hyundai EON Era Plus,2013.0,280000.0,3240.0,Petrol,Individual,Manual,Second Owner,Hyundai,EON Era Plus,0,12.0,1,270.0,0,86.41975308641975,23333.333333333332
Maruti Swift Dzire VDI,2015.0,540000.0,60000.0,Petrol,Individual,Manual,First Owner,Maruti,Swift Dzire VDI,0,10.0,0,6000.0,0,9.0,54000.0
Maruti Ciaz VDi Plus,2015.0,525000.0,100000.0,Diesel,Individual,Manual,First Owner,Maruti,Ciaz VDi Plus,0,10.0,0,10000.0,1,5.25,52500.0
Maruti Swift Dzire VDI,2016.0,430000.0,80000.0,Diesel,Individual,Manual,First Owner,Maruti,Swift Dzire VDI,0,9.0,0,8888.888888888889,1,5.375,47777.77777777778
Hyundai Santro LE,2002.0,65000.0,70000.0,Petrol,Individual,Manual,First Owner,Hyundai,Santro LE,0,23.0,1,3043.478260869565,1,0.9285714285714286,2826.086956521739
Maruti Vitara Brezza VDi,2018.0,800000.0,35000.0,Diesel,Individual,Manual,First Owner,Maruti,Vitara Brezza VDi,0,7.0,0,5000.0,0,22.857142857142858,114285.71428571429
Hyundai Santro Xing XL eRLX Euro III,2007.0,75000.0,114000.0,Petrol,Individual,Manual,Second Owner,Hyundai,Santro Xing XL eRLX Euro III,0,18.0,1,6333.333333333333,1,0.6578947368421053,4166.666666666667
Hyundai Getz 1.3 GLS,2008.0,210000.0,53772.0,Petrol,Individual,Manual,First Owner,Hyundai,Getz 1.3 GLS,0,17.0,1,3163.0588235294117,0,3.905378263780406,12352.941176470587
Mahindra Quanto C8,2012.0,195000.0,140000.0,Diesel,Individual,Manual,Second Owner,Mahindra,Quanto C8,0,13.0,1,10769.23076923077,1,1.3928571428571428,15000.0
Chevrolet Tavera Neo 3 LS 7 C BSIII,2015.0,400000.0,120000.0,Diesel,Individual,Manual,First Owner,Chevrolet,Tavera Neo 3 LS 7 C BSIII,0,10.0,0,12000.0,1,3.3333333333333335,40000.0
Renault KWID RXT,2016.0,225000.0,25000.0,Petrol,Individual,Manual,First Owner,Renault,KWID RXT,0,9.0,0,2777.777777777778,0,9.0,25000.0
Maruti Wagon R DUO LPG,2014.0,210000.0,90000.0,LPG,Individual,Manual,First Owner,Maruti,Wagon R DUO LPG,0,11.0,1,8181.818181818182,1,2.3333333333333335,19090.909090909092
Maruti Wagon R LXI,2020.0,240000.0,120000.0,Petrol,Individual,Manual,First Owner,Maruti,Wagon R LXI,0,5.0,0,24000.0,1,2.0,48000.0
Chevrolet Spark 1.0 LS,2011.0,99000.0,100000.0,Petrol,Individual,Manual,Third Owner,Chevrolet,Spark 1.0 LS,0,14.0,1,7142.857142857143,1,0.99,7071.428571428572
Honda City i VTEC SV,2014.0,620000.0,60000.0,Petrol,Individual,Manual,First Owner,Honda,City i VTEC SV,0,11.0,1,5454.545454545455,0,10.333333333333334,56363.63636363636
Honda Amaze VX i-DTEC,2013.0,500000.0,30000.0,Diesel,Individual,Manual,First Owner,Honda,Amaze VX i-DTEC,0,12.0,1,2500.0,0,16.666666666666668,41666.666666666664
Maruti Swift VVT ZXI,2017.0,550000.0,60000.0,Petrol,Individual,Manual,First Owner,Maruti,Swift VVT ZXI,0,8.0,0,7500.0,0,9.166666666666666,68750.0
Tata Indigo CR4,2011.0,150000.0,155500.0,Diesel,Individual,Manual,First Owner,Tata,Indigo CR4,0,14.0,1,11107.142857142857,1,0.9646302250803859,10714.285714285714
